model,model_id,LAMBDA_LASSO,LAMBDA_EXOG,LAMBDA_NETWORK,NETWORK_THRESHOLD,lasso_lambda,self_free,USE_LAST_DAY,mean_val_mse,std_val_mse,mean_turnover_econ,mean_turnover_seq,mean_sparsity,mean_n_alive,mean_density,mean_fit_time_s
M4,4,0.0001,0.0005,0.0001,0.7,0.0001,True,False,1.8971208067579413e-05,2.3274743045871676e-06,1.1020106149326097,0.410820231428313,0.9034731192054881,44838.666666666664,0.2644362092663152,24.527308622996014
M4,4,0.0001,0.0005,0.0001,0.7,0.0001,True,True,1.8985784387412457e-05,2.310928523985063e-06,1.1033803789567604,0.4143041196689022,0.9004872413100261,46225.666666666664,0.28306974963898607,25.039207140604656
M4,4,0.0003,0.0005,0.0001,0.7,0.0003,True,False,1.803257734144428e-05,1.9308651421550583e-06,1.0034293246399064,0.32937832939394446,0.9869592984873274,6057.666666666667,0.2644362092663152,8.386476596196493
M4,4,0.0003,0.0005,0.0001,0.7,0.0003,True,True,1.8049261322360187e-05,1.9404588354528367e-06,1.0043709344749934,0.3291697954598404,0.9867555038893195,6152.333333333333,0.28306974963898607,8.076960484186808
M4,4,0.0005,0.0005,0.0001,0.7,0.0005,True,False,1.808337421488325e-05,1.911831744052884e-06,0.9881863320614864,0.3383095139092717,0.996514681822096,1619.0,0.2644362092663152,5.171959241231282
M4,4,0.0005,0.0005,0.0001,0.7,0.0005,True,True,1.8084903955820267e-05,1.9131785533296586e-06,0.9882914268520242,0.3382890570165595,0.9964945893969402,1628.3333333333333,0.28306974963898607,5.293541669845581
M4,4,0.0001,0.0005,0.0005,0.7,0.0001,True,False,1.886044674708631e-05,2.297999175577618e-06,1.0852079411799607,0.41008474014848667,0.9237614455064725,35414.333333333336,0.2644362092663152,20.663456519444782
M4,4,0.0001,0.0005,0.0005,0.7,0.0001,True,True,1.8889209399287743e-05,2.2998081952542045e-06,1.0887928114223016,0.41437313894748334,0.9186830850483654,37773.333333333336,0.28306974963898607,21.39851752916972
M4,4,0.0003,0.0005,0.0005,0.7,0.0003,True,False,1.803147697348459e-05,1.9273458787436813e-06,1.0008816094169264,0.33146991024064815,0.9885623869801085,5313.0,0.2644362092663152,7.507765928904216
M4,4,0.0003,0.0005,0.0005,0.7,0.0003,True,True,1.8052335679191918e-05,1.9425338085526025e-06,1.0022668539181365,0.33107589327507814,0.9882279916185883,5468.333333333333,0.28306974963898607,7.464944203694661
M4,4,0.0005,0.0005,0.0005,0.7,0.0005,True,False,1.808409137673814e-05,1.912446931553445e-06,0.9879695584819453,0.3385761966740471,0.9965900284164299,1584.0,0.2644362092663152,5.202014923095703
M4,4,0.0005,0.0005,0.0005,0.7,0.0005,True,True,1.8086282310205482e-05,1.914445404856294e-06,0.9881092777381425,0.33856170162131444,0.9965670656448232,1594.6666666666667,0.28306974963898607,5.128434896469116
M4,4,0.0001,0.0005,0.001,0.7,0.0001,True,False,1.886044674755086e-05,2.297999176125944e-06,1.0852079411940754,0.4100847401546785,0.9237614455064725,35414.333333333336,0.2644362092663152,19.898705800374348
M4,4,0.0001,0.0005,0.001,0.7,0.0001,True,True,1.8889209399440202e-05,2.2998081953768007e-06,1.0887928114242857,0.41437313894940625,0.9186830850483654,37773.333333333336,0.28306974963898607,20.732924540837605
M4,4,0.0003,0.0005,0.001,0.7,0.0003,True,False,1.8031476973455484e-05,1.9273458787291543e-06,1.0008816094137265,0.33146991024263045,0.9885623869801085,5313.0,0.2644362092663152,7.290365537007649
M4,4,0.0003,0.0005,0.001,0.7,0.0003,True,True,1.8052335679194564e-05,1.942533808555272e-06,1.0022668539196264,0.33107589327382914,0.9882279916185883,5468.333333333333,0.28306974963898607,7.5565338134765625
M4,4,0.0005,0.0005,0.001,0.7,0.0005,True,False,1.8084091376731622e-05,1.912446931549344e-06,0.9879695584810481,0.3385761966735698,0.9965900284164299,1584.0,0.2644362092663152,5.094773928324382
M4,4,0.0005,0.0005,0.001,0.7,0.0005,True,True,1.8086282310200413e-05,1.914445404850535e-06,0.9881092777376471,0.3385617016210021,0.9965670656448232,1594.6666666666667,0.28306974963898607,5.10724155108134
M4,4,0.0001,0.0005,0.005,0.7,0.0001,True,False,1.8860446747166217e-05,2.2979991756143872e-06,1.0852079411827393,0.4100847401465031,0.9237614455064725,35414.333333333336,0.2644362092663152,12.422212680180868
M4,4,0.0001,0.0005,0.005,0.7,0.0001,True,True,1.888920939944477e-05,2.299808195377285e-06,1.0887928114242242,0.41437313894972266,0.9186830850483654,37773.333333333336,0.28306974963898607,12.912282705307007
M4,4,0.0003,0.0005,0.005,0.7,0.0003,True,False,1.8031476973456158e-05,1.9273458787311893e-06,1.0008816094143151,0.33146991024226097,0.9885623869801085,5313.0,0.2644362092663152,4.534207105636597
M4,4,0.0003,0.0005,0.005,0.7,0.0003,True,True,1.8052335679195102e-05,1.9425338085566216e-06,1.0022668539197164,0.33107589327378273,0.9882279916185883,5468.333333333333,0.28306974963898607,4.639654715855916
M4,4,0.0005,0.0005,0.005,0.7,0.0005,True,False,1.8084091376732178e-05,1.9124469315503035e-06,0.9879695584811472,0.3385761966738085,0.9965900284164299,1584.0,0.2644362092663152,3.9582995573679605
M4,4,0.0005,0.0005,0.005,0.7,0.0005,True,True,1.808628231020037e-05,1.9144454048509664e-06,0.9881092777377551,0.3385617016209632,0.9965670656448232,1594.6666666666667,0.28306974963898607,3.6887009938557944
M4,4,0.0001,0.0005,0.01,0.7,0.0001,True,False,1.8860446747166217e-05,2.2979991756143872e-06,1.0852079411827393,0.4100847401465031,0.9237614455064725,35414.333333333336,0.2644362092663152,11.949631373087565
M4,4,0.0001,0.0005,0.01,0.7,0.0001,True,True,1.888920939944477e-05,2.299808195377285e-06,1.0887928114242242,0.41437313894972266,0.9186830850483654,37773.333333333336,0.28306974963898607,12.675881703694662
M4,4,0.0003,0.0005,0.01,0.7,0.0003,True,False,1.8031476973456158e-05,1.9273458787311893e-06,1.0008816094143151,0.33146991024226097,0.9885623869801085,5313.0,0.2644362092663152,4.472398201624553
M4,4,0.0003,0.0005,0.01,0.7,0.0003,True,True,1.8052335679195102e-05,1.9425338085566216e-06,1.0022668539197164,0.33107589327378273,0.9882279916185883,5468.333333333333,0.28306974963898607,4.742112318674724
M4,4,0.0005,0.0005,0.01,0.7,0.0005,True,False,1.8084091376732178e-05,1.9124469315503035e-06,0.9879695584811472,0.3385761966738085,0.9965900284164299,1584.0,0.2644362092663152,3.477224906285604
M4,4,0.0005,0.0005,0.01,0.7,0.0005,True,True,1.808628231020037e-05,1.9144454048509664e-06,0.9881092777377551,0.3385617016209632,0.9965670656448232,1594.6666666666667,0.28306974963898607,3.694047530492147
M4,4,0.0001,0.0005,0.0001,0.8,0.0001,True,False,1.8485389020925126e-05,2.164956615748204e-06,1.0696462937741644,0.36188427275804463,0.9345941330118546,30382.333333333332,0.06993667032030203,17.645033439000446
M4,4,0.0001,0.0005,0.0001,0.8,0.0001,True,True,1.8638505003920145e-05,2.2038467544889383e-06,1.080936376633688,0.38031042329628645,0.9233832773615775,35590.0,0.13855542216886754,19.84245451291402
M4,4,0.0003,0.0005,0.0001,0.8,0.0003,True,False,1.804205850148605e-05,1.9285296833168564e-06,0.9991643701493222,0.33075587504064036,0.9898741353081317,4703.666666666667,0.06993667032030203,7.490599552790324
M4,4,0.0003,0.0005,0.0001,0.8,0.0003,True,True,1.8049149914643558e-05,1.9360272975477787e-06,1.000986619124032,0.33036900068131614,0.9888501392118029,5179.333333333333,0.13855542216886754,7.676244735717773
M4,4,0.0005,0.0005,0.0001,0.8,0.0005,True,False,1.808869428933957e-05,1.916284238189167e-06,0.9875609182225945,0.3390578607084067,0.9968160681994317,1479.0,0.06993667032030203,5.334415117899577
M4,4,0.0005,0.0005,0.0001,0.8,0.0005,True,True,1.8087327032253005e-05,1.9158622092440355e-06,0.9878730626457651,0.3387379332758587,0.9967113005539768,1527.6666666666667,0.13855542216886754,5.2712704340616865
M4,4,0.0001,0.0005,0.0005,0.8,0.0001,True,False,1.825431491901092e-05,2.090900541292809e-06,1.0278840866273362,0.35878669040069006,0.9729146933034817,12581.666666666666,0.06993667032030203,10.441137631734213
M4,4,0.0001,0.0005,0.0005,0.8,0.0001,True,True,1.8468630987003895e-05,2.153514761033438e-06,1.0517910375224393,0.3795655787890217,0.9533575877608427,21666.333333333332,0.13855542216886754,14.01525060335795
M4,4,0.0003,0.0005,0.0005,0.8,0.0003,True,False,1.8062216865684913e-05,1.933045303156942e-06,0.993238014824743,0.33620391772682945,0.9933429489939436,3092.3333333333335,0.06993667032030203,6.207736094792684
M4,4,0.0003,0.0005,0.0005,0.8,0.0003,True,True,1.8057959133992606e-05,1.9366141893426527e-06,0.9968363165025506,0.33397167584829024,0.9913860903010994,4001.3333333333335,0.13855542216886754,6.658640702565511
