model,model_id,fold,LAMBDA_LASSO,lasso_lambda,LAMBDA_NETWORK,MSE,Turnover_econ,Turnover_seq,Sparsity,n_alive,Density,FitTime_s,LAMBDA_EXOG,self_free,NETWORK_THRESHOLD,USE_LAST_DAY,LAMBDA_TURNOVER
M2,2,1,1e-05,1e-05,0.0,5.6895084630903885e-05,2.237275534290668,2.1021647133400188,0.2688289601554908,337064,,138.58822774887085,,,,,
M2,2,2,1e-05,1e-05,0.0,4.59680588739673e-05,1.9985190495242655,1.873858441801298,0.22208194502290712,358614,,236.72275972366333,,,,,
M2,2,3,1e-05,1e-05,0.0,3.5391956650960225e-05,1.7369486404405161,1.6210424999489566,0.19961951617381646,368969,,210.9944064617157,,,,,
M2,2,1,5e-05,5e-05,0.0,2.8280552711592925e-05,1.5081804861268149,0.9323551233574838,0.6151972268499236,177391,,43.320900201797485,,,,,
M2,2,2,5e-05,5e-05,0.0,2.487203845964401e-05,1.3972929265750451,0.8330403458541047,0.6032425725392198,182902,,49.87232327461243,,,,,
M2,2,3,5e-05,5e-05,0.0,2.051718631618111e-05,1.2665277598219657,0.7294852399645216,0.600424736221019,184201,,55.23050141334534,,,,,
M2,2,1,0.0001,0.0001,0.0,2.3459203703784306e-05,1.3259634531760378,0.5737227439759938,0.7981505102040817,93051,,14.693144798278809,,,,,
M2,2,2,0.0001,0.0001,0.0,2.1153485396289927e-05,1.2442571094396082,0.5126386275471598,0.8003262529501597,92048,,17.23138666152954,,,,,
M2,2,3,0.0001,0.0001,0.0,1.7779307004711326e-05,1.1403359922128344,0.44020966415251456,0.8077537137303901,88624,,17.715508222579956,,,,,
M2,2,1,0.0005,0.0005,0.0,2.1151867028002167e-05,1.208266139649262,0.22516710821465208,0.9886679161460502,5224,,4.537644147872925,,,,,
M2,2,2,0.0005,0.0005,0.0,1.9744385129316475e-05,1.160122529825848,0.22908863529739434,0.9893620713591559,4904,,4.988867282867432,,,,,
M2,2,3,0.0005,0.0005,0.0,1.6871709546750434e-05,1.079103131164071,0.21186487331048862,0.989696133555463,4750,,5.625536918640137,,,,,
M2,2,1,0.001,0.001,0.0,2.310327312875949e-05,1.3457402993532677,0.11851684818606546,0.997193009857004,1294,,3.4294281005859375,,,,,
M2,2,2,0.001,0.001,0.0,2.1600013025968623e-05,1.2944586886715925,0.13155044742726818,0.9973209947244204,1235,,4.355871200561523,,,,,
M2,2,3,0.001,0.001,0.0,1.851428056707091e-05,1.2075534980661895,0.12453454173415351,0.9973990871858948,1199,,4.7593770027160645,,,,,
M3,3,1,5e-05,5e-05,0.0,2.835297078778705e-05,1.5124705894483284,0.9323551961811843,0.6171359683113752,177848,,53.313117027282715,5e-05,False,,,
M3,3,2,5e-05,5e-05,0.0,2.5037514992366363e-05,1.4039837124277743,0.8350007568114076,0.6047791268406096,183588,,81.55579781532288,5e-05,False,,,
M3,3,3,5e-05,5e-05,0.0,2.0629338490420814e-05,1.2713833933840963,0.7307490250787874,0.6020235942478257,184868,,86.84919166564941,5e-05,False,,,
M3,3,1,5e-05,5e-05,0.0,2.8276919395056728e-05,1.508630430152534,0.9319166606963697,0.617648325152846,177610,,68.17744135856628,0.0001,False,,,
M3,3,2,5e-05,5e-05,0.0,2.488429112959269e-05,1.39793344685906,0.8333156524405902,0.6057306466890554,183146,,81.8293707370758,0.0001,False,,,
M3,3,3,5e-05,5e-05,0.0,2.0518186830285254e-05,1.2667080736953507,0.7295429312709918,0.6031301128046155,184354,,89.00746607780457,0.0001,False,,,
M3,3,1,5e-05,5e-05,0.0,2.8280552711592925e-05,1.5081804861268149,0.9323551233574838,0.6181197795573926,177391,,68.75104236602783,0.0005,False,,,
M3,3,2,5e-05,5e-05,0.0,2.487203845964401e-05,1.3972929265750451,0.8330403458541047,0.6062559200895548,182902,,80.80156373977661,0.0005,False,,,
M3,3,3,5e-05,5e-05,0.0,2.051718631618111e-05,1.2665277598219657,0.7294852399645216,0.6034594850598467,184201,,87.67490410804749,0.0005,False,,,
M3,3,1,5e-05,5e-05,0.0,2.8280552711592925e-05,1.5081804861268149,0.9323551233574838,0.6181197795573926,177391,,66.9331316947937,0.001,False,,,
M3,3,2,5e-05,5e-05,0.0,2.487203845964401e-05,1.3972929265750451,0.8330403458541047,0.6062559200895548,182902,,79.33140254020691,0.001,False,,,
M3,3,3,5e-05,5e-05,0.0,2.051718631618111e-05,1.2665277598219657,0.7294852399645216,0.6034594850598467,184201,,86.97093272209167,0.001,False,,,
M3,3,1,0.0001,0.0001,0.0,2.3586213917947684e-05,1.3342451962556106,0.5718455762404885,0.798525359510893,93589,,24.318742513656616,5e-05,False,,,
M3,3,2,0.0001,0.0001,0.0,2.1413727790746095e-05,1.2546330724582304,0.5100103412623923,0.8008094376991303,92528,,27.236348390579224,5e-05,False,,,
M3,3,3,0.0001,0.0001,0.0,1.7971877037060968e-05,1.152497028167826,0.4378373401006921,0.8082256953414277,89083,,29.623674392700195,5e-05,False,,,
M3,3,1,0.0001,0.0001,0.0,2.3494046878390268e-05,1.32875836226529,0.5725571969201039,0.7992982002927753,93230,,24.724342823028564,0.0001,False,,,
