date,vix
20100601,35.54
20100602,30.17
20100603,29.46
20100604,35.48
20100607,36.57
20100608,33.7
20100609,33.73
20100610,30.57
20100611,28.79
20100614,28.58
20100615,25.87
20100616,25.92
20100617,25.05
20100618,23.95
20100621,24.88
20100622,27.05
20100623,26.91
20100624,29.74
20100625,28.53
20100628,29.0
20100629,34.13
20100630,34.54
20100701,32.86
20100702,30.12
20100706,29.65
20100707,26.84
20100708,25.71
20100709,24.98
20100712,24.43
20100713,24.56
20100714,24.89
20100715,25.14
20100716,26.25
20100719,25.97
20100720,23.93
20100721,25.64
20100722,24.63
20100723,23.47
20100726,22.73
20100727,23.19
20100728,24.25
20100729,24.13
20100730,23.5
20100802,22.01
20100803,22.63
20100804,22.21
20100805,22.1
20100806,21.74
20100809,22.14
20100810,22.37
20100811,25.39
20100812,25.73
20100813,26.24
20100816,26.1
20100817,24.33
20100818,24.59
20100819,26.44
20100820,25.49
20100823,25.66
20100824,27.46
20100825,26.7
20100826,27.37
20100827,24.45
20100830,27.21
20100831,26.05
20100901,23.89
20100902,23.19
20100903,21.31
20100907,23.8
20100908,23.25
20100909,22.81
20100910,21.99
20100913,21.21
20100914,21.56
20100915,22.1
20100916,21.72
20100917,22.01
20100920,21.5
20100921,22.35
20100922,22.51
20100923,23.87
20100924,21.71
20100927,22.54
20100928,22.6
20100929,23.25
20100930,23.7
20101001,22.5
20101004,23.53
20101005,21.76
20101006,21.49
20101007,21.56
20101008,20.71
20101011,18.96
20101012,18.93
20101013,19.07
20101014,19.88
20101015,19.03
20101018,19.09
20101019,20.63
20101020,19.79
20101021,19.27
20101022,18.78
20101025,19.85
20101026,20.22
20101027,20.71
20101028,20.88
20101029,21.2
20101101,21.83
20101102,21.57
20101103,19.56
20101104,18.52
20101105,18.26
20101108,18.29
20101109,19.08
20101110,18.47
20101111,18.64
20101112,20.61
20101115,20.2
20101116,22.58
20101117,21.76
20101118,18.75
20101119,18.04
20101122,18.37
20101123,20.63
20101124,19.56
20101126,22.22
20101129,21.53
20101130,23.54
20101201,21.36
20101202,19.39
20101203,18.01
20101206,18.02
20101207,17.99
20101208,17.74
20101209,17.25
20101210,17.61
20101213,17.55
20101214,17.61
20101215,17.94
20101216,17.39
20101217,16.11
20101220,16.41
20101221,16.49
20101222,15.45
20101223,16.47
20101227,17.67
20101228,17.52
20101229,17.28
20101230,17.52
20101231,17.75
20110103,17.61
20110104,17.38
20110105,17.02
20110106,17.4
20110107,17.14
20110110,17.54
20110111,16.89
20110112,16.24
20110113,16.39
20110114,15.46
20110118,15.87
20110119,17.31
20110120,17.99
20110121,18.47
20110124,17.65
20110125,17.59
20110126,16.64
20110127,16.15
20110128,20.04
20110131,19.53
20110201,17.63
20110202,17.3
20110203,16.69
20110204,15.93
20110207,16.28
20110208,15.81
20110209,15.87
20110210,16.09
20110211,15.69
20110214,15.95
20110215,16.37
20110216,16.72
20110217,16.59
20110218,16.43
20110222,20.8
20110223,22.13
20110224,21.32
20110225,19.22
20110228,18.35
20110301,21.01
20110302,20.7
20110303,18.6
20110304,19.06
20110307,20.66
20110308,19.82
20110309,20.22
20110310,21.88
20110311,20.08
20110314,21.13
20110315,24.32
20110316,29.4
20110317,26.37
20110318,24.44
20110321,20.61
20110322,20.21
20110323,19.17
20110324,18.0
20110325,17.91
20110328,19.44
20110329,18.16
20110330,17.71
20110331,17.74
20110401,17.4
20110404,17.5
20110405,17.25
20110406,16.9
20110407,17.11
20110408,17.87
20110411,16.59
20110412,17.09
20110413,16.92
20110414,16.27
20110415,15.32
20110418,16.96
20110419,15.83
20110420,15.07
20110421,14.69
20110425,15.77
20110426,15.62
20110427,15.35
20110428,14.62
20110429,14.75
20110502,15.99
20110503,16.7
20110504,17.08
20110505,18.2
20110506,18.4
20110509,17.16
20110510,15.91
20110511,16.95
20110512,16.03
20110513,17.07
20110516,18.24
20110517,17.55
20110518,16.23
20110519,15.52
20110520,17.43
20110523,18.27
20110524,17.82
20110525,17.07
20110526,16.09
20110527,15.98
20110531,15.45
20110601,18.3
20110602,18.09
20110603,17.95
20110606,18.49
20110607,18.07
20110608,18.79
20110609,17.77
20110610,18.86
20110613,19.61
20110614,18.26
20110615,21.32
20110616,22.73
20110617,21.85
20110620,19.99
20110621,18.86
20110622,18.52
20110623,19.29
20110624,21.1
20110627,20.56
20110628,19.17
20110629,17.27
20110630,16.52
20110701,15.87
20110705,16.06
20110706,16.34
20110707,15.95
20110708,15.95
20110711,18.39
20110712,19.87
20110713,19.91
20110714,20.8
20110715,19.53
20110718,20.95
20110719,19.21
20110720,19.09
20110721,17.56
20110722,17.52
20110725,19.35
20110726,20.23
20110727,22.98
20110728,23.74
20110729,25.25
20110801,23.66
20110802,24.79
20110803,23.38
20110804,31.66
20110805,32.0
20110808,48.0
20110809,35.06
20110810,42.99
20110811,39.0
20110812,36.36
20110815,31.87
20110816,32.85
20110817,31.58
20110818,42.67
20110819,43.05
20110822,42.44
20110823,36.27
20110824,35.9
20110825,39.76
20110826,35.59
20110829,32.28
20110830,32.89
20110831,31.62
20110901,31.82
20110902,33.92
20110906,37.0
20110907,33.38
20110908,34.32
20110909,38.52
20110912,38.59
20110913,36.91
20110914,34.6
20110915,31.97
20110916,30.98
20110919,32.73
20110920,32.86
20110921,37.32
20110922,41.35
20110923,41.25
20110926,39.02
20110927,37.71
20110928,41.08
20110929,38.84
20110930,42.96
20111003,45.45
20111004,40.82
20111005,37.81
20111006,36.27
20111007,36.2
20111010,33.02
20111011,32.86
20111012,31.26
20111013,30.7
20111014,28.24
20111017,33.39
20111018,31.56
20111019,34.44
20111020,34.78
20111021,31.32
20111024,29.26
20111025,32.22
20111026,29.86
20111027,25.46
20111028,24.53
20111031,29.96
20111101,34.77
20111102,32.74
20111103,30.5
20111104,30.16
20111107,29.85
20111108,27.48
20111109,36.16
20111110,32.81
20111111,30.04
20111114,31.13
20111115,31.22
20111116,33.51
20111117,34.51
20111118,32.0
20111121,32.91
20111122,31.97
20111123,33.98
20111125,34.47
20111128,32.13
20111129,30.64
20111130,27.8
20111201,27.41
20111202,27.52
20111205,27.84
20111206,28.13
20111207,28.67
20111208,30.59
20111209,26.38
20111212,25.67
